txn_id,user_id,txn_time,amount,merchant_type,txn_type,device,location,ip_address
34,62,2025-06-02 07:57:53,4958.86,e-commerce,in-person,734742e6-affc-4154-864a-cc523eb5cb91,Austria,217.242.65.159
35,118,2025-06-02 07:56:06,11769.21,e-commerce,online,52af4c0a-0fad-4da9-b016-ae6a10f8f549,Kyrgyz Republic,121.77.165.5
36,118,2025-06-02 07:57:09,1348.94,e-commerce,in-person,ddd954c8-32b8-490e-baa4-b65c4ac56124,Jordan,41.227.136.109
37,143,2025-06-02 07:56:50,13379.89,gaming,international,f7e9dacf-3b58-490c-ab91-80b19992942d,Antarctica (the territory South of 60 deg S),196.240.190.173
38,452,2025-06-02 07:57:34,11421.29,crypto,online,5e9ee0fd-c5b9-41a3-a7f7-9a66a3a01b09,Colombia,112.109.60.253
39,209,2025-06-02 07:59:27,3809.01,e-commerce,international,5633d22c-a9b6-44cc-beb5-4fb3ac741e4b,Armenia,89.39.37.79
40,211,2025-06-02 07:56:52,9341.03,e-commerce,international,0de32199-0068-4725-ada0-f55ec20d7824,French Southern Territories,181.54.174.101
41,51,2025-06-02 07:58:22,1213.19,travel,online,7b0d3661-1d6b-450a-ad11-44a893b25161,Saint Kitts and Nevis,135.17.97.141
42,275,2025-06-02 07:56:26,8972.82,crypto,online,3540e3ff-fc89-407f-b04d-e3a8a343a45b,Lao People's Democratic Republic,24.144.166.9
43,448,2025-06-02 07:54:34,18465.39,crypto,international,e3043b98-098b-4eb0-9cf4-9f5ca5118738,British Indian Ocean Territory (Chagos Archipelago),195.56.101.11
44,277,2025-06-02 07:54:35,16720.72,e-commerce,online,165d052a-4d7e-4500-884e-4eb69aba7bba,United States Virgin Islands,38.17.90.196
45,247,2025-06-02 08:00:10,4275.73,crypto,online,f12a273e-609e-4592-9c6d-8b179a95e782,Slovakia (Slovak Republic),24.168.32.78
46,200,2025-06-02 07:55:48,5304.8,crypto,in-person,a628a08c-5ec2-4fb4-a1c1-1bc4095eb8d0,Solomon Islands,95.69.170.162
47,375,2025-06-02 07:56:38,19908.46,retail,international,445dc7bb-1bb4-4680-95f2-cd63ce22e006,Peru,78.75.61.53
48,98,2025-06-02 07:57:29,5934.86,e-commerce,international,7b63afb4-795f-43cd-b813-22dee85b918c,Moldova,209.141.86.146
49,383,2025-06-02 07:57:17,6272.78,e-commerce,international,3040dcfc-83c1-4667-8d3a-a5e290f42e1e,Japan,23.92.217.87
50,437,2025-06-02 07:59:24,10622.99,e-commerce,international,a0318dc3-c471-4cbc-8ea7-5edcee1766bf,Turkey,143.48.47.30
51,36,2025-06-02 07:58:31,11901.11,gaming,in-person,825ca58c-abf1-47e4-b38f-27b925e8485a,Monaco,89.140.104.247
52,292,2025-06-02 07:58:59,4925.06,retail,online,1446842b-e1a8-4cff-921f-0968ed1e1d77,Northern Mariana Islands,122.184.88.63
53,337,2025-06-02 07:57:48,11673.86,retail,in-person,41e99df1-98b7-450d-ac61-e1b600b50b65,Cote d'Ivoire,82.177.10.25
54,343,2025-06-02 07:59:27,14324.12,gaming,in-person,7d81c979-e5a1-4b03-9e47-3c26d032570d,Guyana,114.118.139.199
55,331,2025-06-02 07:58:39,6000.64,travel,online,53ca1523-75df-4bde-a3a4-6e70bc761486,United Kingdom,178.62.129.36
56,289,2025-06-02 07:56:47,19921.93,e-commerce,international,9f7f1d53-eca0-442b-8b2a-208b00f1142f,Barbados,164.213.31.84
57,68,2025-06-02 07:57:55,18665.25,e-commerce,online,461ba2fc-31fb-41d4-a630-0d7021298960,Christmas Island,90.50.65.197
58,225,2025-06-02 07:55:57,16675.07,travel,international,55d5b7b0-a964-4319-b0a3-4d7f71ba5bde,Botswana,132.86.115.145
59,5,2025-06-02 07:58:00,13357.6,retail,in-person,1bae9002-25d2-4175-a2bf-310fc4d4ab7f,Cocos (Keeling) Islands,165.150.33.37
60,481,2025-06-02 07:57:09,17562.66,travel,online,4ef86952-1b60-418b-af6d-39bd500c54e1,Argentina,130.25.95.2
61,284,2025-06-02 07:54:51,3109.8,travel,international,fd3f4b7c-85fd-47d2-b53e-2b0a804a54a0,Greenland,210.68.231.202
62,105,2025-06-02 07:54:37,13750.26,travel,international,d876f150-3cbe-47e6-8f0b-3f46b499bcee,Taiwan,106.169.31.131
63,465,2025-06-02 07:57:12,16922.23,e-commerce,international,a628a08c-5ec2-4fb4-a1c1-1bc4095eb8d0,Russian Federation,16.246.145.154
64,23,2025-06-02 07:59:42,71.91,gaming,international,fb8d00eb-1e70-41cc-a684-9097e8061153,Heard Island and McDonald Islands,160.222.55.230
65,227,2025-06-02 07:58:04,11034.06,crypto,international,53ca1523-75df-4bde-a3a4-6e70bc761486,Syrian Arab Republic,46.203.124.102
66,484,2025-06-02 07:56:14,17662.24,gaming,international,ffcea7c2-ab00-45df-93d1-f423536d11e2,Holy See (Vatican City State),126.34.136.134
67,299,2025-06-02 07:57:19,11050.95,crypto,online,7cd17c27-b179-4b2b-8189-feaba4590345,Vanuatu,59.184.175.130
68,461,2025-06-02 07:58:57,18661.83,e-commerce,in-person,fd3f4b7c-85fd-47d2-b53e-2b0a804a54a0,Moldova,12.4.0.121
69,342,2025-06-02 07:57:30,2056.77,retail,in-person,ab44cd8c-9de4-4278-bfa4-087184193a8d,Latvia,119.5.187.208
70,80,2025-06-02 07:55:10,18515.35,gaming,online,c8e5eddc-c04f-4ded-b8a0-4487c025346b,Malaysia,124.113.21.211
71,91,2025-06-02 07:56:24,17628.44,e-commerce,online,de5b9a44-1f30-44a2-8514-dd0f01cb05b6,Belgium,115.216.201.124
72,401,2025-06-02 07:57:28,18616.39,gaming,in-person,777300eb-5e46-48aa-a8de-5c060f400505,Georgia,166.102.170.132
73,56,2025-06-02 07:59:47,7651.45,e-commerce,in-person,cd5d128c-c189-491a-bb5d-96321fc08b99,Bangladesh,87.65.111.36
74,471,2025-06-02 07:57:58,9206.6,travel,online,77d987d0-3fc0-4390-af7f-43355c081936,Ecuador,8.197.175.43
75,205,2025-06-02 07:59:57,6565.91,e-commerce,in-person,4ba468ed-226d-4243-aaa0-dbad1dd3e444,Macedonia,7.97.115.74
76,205,2025-06-02 07:55:59,13590.68,retail,in-person,d8c0856d-2d52-4b0f-8d15-bb59c62dc971,Saint Lucia,2.6.114.153
77,497,2025-06-02 07:55:59,5225.04,retail,in-person,4468830e-54f0-48c2-9606-73c2789c2f5e,Aruba,216.93.250.235
78,223,2025-06-02 07:58:05,6914.4,travel,in-person,1c6057ed-039f-48f5-994b-dcdad49a0ea8,Tajikistan,125.144.206.87
79,60,2025-06-02 07:54:56,7704.52,retail,online,c580557f-630b-4663-85eb-f725b3f61971,Micronesia,44.51.157.17
80,224,2025-06-02 07:57:18,34.82,retail,international,68526df5-35e4-4755-b407-ebe01782c4e1,Micronesia,158.211.57.149
81,378,2025-06-02 07:56:21,13412.9,travel,in-person,37ef5c62-a09a-4cc0-bb21-37d1f1322abc,Moldova,24.91.50.222
82,472,2025-06-02 07:58:11,6604.67,travel,international,3d671e62-df2b-4d0d-ae3f-43db991c1638,Hungary,193.193.99.92
83,461,2025-06-02 07:57:50,6007.15,travel,international,f6466682-90f7-4319-ac90-44f25ab62750,Sudan,10.5.107.249
84,357,2025-06-02 07:59:01,5913.81,gaming,online,2cb7409a-b4ba-48bd-b9a2-85b503f1c067,Somalia,46.255.226.223
85,195,2025-06-02 07:54:48,13546.68,gaming,international,be8cdad0-5baf-40c3-8a5a-4896c14b22bd,Singapore,57.207.52.70
86,281,2025-06-02 07:54:21,16674.67,travel,in-person,fd3f4b7c-85fd-47d2-b53e-2b0a804a54a0,Japan,200.184.246.6
87,297,2025-06-02 07:58:24,12133.62,travel,in-person,5a5379ae-b82d-4b3c-ba49-ce7c3da067dd,Guadeloupe,84.76.241.61
88,110,2025-06-02 08:00:14,10223.97,gaming,international,5f3a580a-9b33-4de5-b3c3-051d2920a273,Malta,9.90.142.198
89,340,2025-06-02 07:58:43,12659.18,travel,online,1eb35e30-a253-4e79-aab1-53029e74743c,Nigeria,164.46.104.169
90,121,2025-06-02 07:55:44,13456.24,gaming,online,b62dcce3-31ce-4593-8fd7-acb01788f11c,Jordan,43.69.172.125
91,244,2025-06-02 07:57:08,12225.87,e-commerce,in-person,ae59fcf1-a691-43d0-a14e-ed69d9653244,Guinea-Bissau,6.139.25.0
92,295,2025-06-02 07:55:14,3889.51,crypto,in-person,014485e9-fc08-4dd5-a1e0-bd3e688850dd,Bhutan,140.178.213.237
93,336,2025-06-02 07:54:19,13752.76,e-commerce,in-person,b16e272f-e3cf-48a9-b4a7-aabfc79b0d5e,American Samoa,165.9.150.175
94,491,2025-06-02 08:00:10,13918.54,crypto,online,0432cf50-116e-4af0-8810-70ee18fff52b,Guatemala,183.96.87.73
95,435,2025-06-02 07:59:05,2428.05,gaming,in-person,2a9b475a-dc10-493c-976e-36c14f6476a1,Andorra,135.25.80.49
96,287,2025-06-02 07:57:38,11909.45,crypto,international,7b152e1a-dfcc-4cc2-9ed4-86f4aa3d4eba,Anguilla,103.151.179.120
97,259,2025-06-02 07:58:24,8535.39,retail,in-person,1caf9dc3-df1e-43b6-ac8e-0da9121b4ac2,Venezuela,186.20.147.195
98,442,2025-06-02 07:54:24,9494.01,travel,online,62098e89-a0eb-4e3a-b0fc-d11b7b510d0b,Reunion,40.3.29.15
99,393,2025-06-02 07:57:53,15553.72,crypto,international,2c46fa59-c6b7-4c1b-b735-899cb320f435,Turks and Caicos Islands,57.11.5.239
100,40,2025-06-02 07:59:04,14271.18,gaming,in-person,879e0d96-e429-431d-b25c-c8e3414d0cff,Lithuania,71.162.101.35
101,277,2025-06-02 07:56:47,1612.47,gaming,online,20595e0a-85fd-44ad-b5e2-a02c9d4faef4,Nepal,98.28.119.242
102,362,2025-06-02 07:55:09,4279.84,crypto,in-person,3318e38d-8efe-4804-a52d-976da4d347c3,Cameroon,210.120.142.147
103,213,2025-06-02 07:55:40,1246.25,crypto,in-person,d6684ea1-e46c-4f8d-b84f-157c07e3435e,British Virgin Islands,167.187.80.60
104,485,2025-06-02 07:55:55,13910.76,retail,in-person,3040dcfc-83c1-4667-8d3a-a5e290f42e1e,Portugal,75.115.155.181
105,153,2025-06-02 07:56:13,15069.75,crypto,international,1c70a716-5f7e-4e21-9bc7-8b45afda2d58,Martinique,27.63.252.108
106,410,2025-06-02 07:55:10,12065.45,gaming,in-person,b16e272f-e3cf-48a9-b4a7-aabfc79b0d5e,Bangladesh,131.85.158.131
107,249,2025-06-02 07:56:16,581.47,travel,international,5cee4624-8080-49fb-8141-4e0267ee8fb8,French Southern Territories,17.169.248.166
108,371,2025-06-02 07:57:37,3301.73,crypto,online,01d8c5ae-1332-4f74-b576-e413aad7e5dc,Holy See (Vatican City State),78.206.90.70
109,465,2025-06-02 07:58:56,7881.01,retail,international,15a48729-0783-4256-9731-8447dc3d0471,Honduras,221.93.137.60
110,220,2025-06-02 07:59:12,2714.85,crypto,online,dbbc4d99-8cae-4c51-8941-959e9448a411,Ecuador,100.200.72.154
111,168,2025-06-02 07:59:03,4233.99,travel,in-person,dc29c554-99a4-44c4-8e3e-bde0bf03a82f,Cocos (Keeling) Islands,152.219.56.128
112,143,2025-06-02 08:00:13,15040.44,crypto,in-person,c9acc301-a5e7-4cb8-8007-614bd5bdd1c3,United States Virgin Islands,104.164.96.224
113,10,2025-06-02 07:59:04,14980.74,e-commerce,in-person,babbf90e-b82e-4518-9a33-1f9cbe0c5003,Spain,207.178.56.166
114,400,2025-06-02 07:56:47,19145.75,e-commerce,online,ac20077c-e83d-4593-8bec-e067fb017b9e,Svalbard & Jan Mayen Islands,4.150.137.153
115,430,2025-06-02 07:57:30,408.58,gaming,online,ef4baaa5-2bb5-465b-b49d-14e5fd6093ed,Palau,43.22.184.48
116,59,2025-06-02 07:54:27,11279.83,gaming,in-person,420f61f6-b95d-42d6-ad0d-cca9cd29613d,China,98.97.117.52
117,189,2025-06-02 07:55:54,3356.62,retail,international,445dc7bb-1bb4-4680-95f2-cd63ce22e006,Iraq,215.55.219.27
118,420,2025-06-02 07:55:26,3276.15,travel,online,0a5b3a6d-9d92-4a0c-bb43-d8bbeaf6db68,Grenada,129.199.115.241
119,295,2025-06-02 07:55:06,13547.27,crypto,in-person,aeb1a899-0158-4c0e-bccf-7e99b012fc8d,Tonga,121.56.10.94
120,39,2025-06-02 07:56:16,11842.37,gaming,online,c4b7264c-adfc-48a3-bb80-537e9a47f012,Togo,50.209.28.145
121,436,2025-06-02 07:57:20,13685.5,e-commerce,international,604e2d85-ef7a-488d-8041-0740343dc0d3,Zimbabwe,170.223.219.226
122,273,2025-06-02 07:58:15,8568.13,travel,online,a1e714cf-8731-4b61-abd2-d938d4778436,Guadeloupe,126.229.200.245
123,7,2025-06-02 07:59:06,16991.66,crypto,online,f4c26c15-075e-4b7c-9835-55f8515151a9,Trinidad and Tobago,35.213.192.4
124,326,2025-06-02 07:58:24,17831.61,crypto,international,bd73a1cb-2ff4-46d9-a6ba-1107307f1082,Brazil,97.189.110.138
125,376,2025-06-02 07:57:51,10435.41,travel,international,cb922048-5270-423f-945b-1ff7bee007dc,Turkey,179.139.224.139
126,397,2025-06-02 07:57:12,9670.47,crypto,international,6eaff947-a171-402f-9261-3b57efb646ee,Australia,10.27.171.81
127,437,2025-06-02 07:55:52,4910.66,e-commerce,in-person,d6f9819a-f7ed-4b6c-a409-5458784010de,Guinea,190.255.166.136
128,385,2025-06-02 07:57:55,9294.7,retail,international,49e2b32e-05b7-45fc-bf2d-fd0215e78668,Hong Kong,35.202.123.154
129,254,2025-06-02 07:55:00,17019.21,gaming,in-person,28bf6da1-71d2-4d08-927b-96704ef7fb86,Guyana,124.31.101.131
130,133,2025-06-02 07:57:23,6807.44,retail,international,e276626e-b7ea-492e-825d-5a304c4ec36e,Latvia,206.191.104.94
131,6,2025-06-02 07:59:21,10333.03,gaming,online,ee2bd168-ee96-4240-a738-1961145ea0a1,Qatar,45.27.45.83
132,251,2025-06-02 07:54:53,11103.97,gaming,international,690761cf-4cf3-4784-89b0-9617deeb539f,Romania,138.179.188.196
133,252,2025-06-02 07:58:54,8964.04,e-commerce,online,7b07f332-3f0e-4af2-86c2-b51fbe2298f4,Macedonia,87.72.241.197
134,355,2025-06-02 07:57:05,4866.86,retail,in-person,dcc503b0-c904-4cd8-a292-b5b0a48c23da,Barbados,55.82.167.122
135,177,2025-06-02 07:54:34,8510.65,retail,in-person,2f03f247-2e51-432d-9a42-0230c9530d34,Morocco,203.92.21.187
136,139,2025-06-02 08:00:16,6133.15,gaming,online,5e716618-fe22-4b14-ab67-c0517fbcf8e5,Moldova,198.101.67.156
137,62,2025-06-02 07:57:28,14857.88,gaming,online,504bc535-068b-48a8-94fa-2aded5e03da5,United States of America,84.40.184.80
138,142,2025-06-02 07:57:01,14491.98,retail,international,94f0b508-0125-470b-bb91-ead64649d8cf,Mozambique,44.110.21.72
139,427,2025-06-02 07:59:10,3883.16,gaming,in-person,3e4d56ab-fa63-4f64-a380-2f3ca709ecd4,Guinea-Bissau,50.58.160.141
140,363,2025-06-02 07:57:07,10683.17,travel,online,ab44cd8c-9de4-4278-bfa4-087184193a8d,Malaysia,169.157.207.128
141,150,2025-06-02 07:58:07,13948.65,gaming,international,d29d7f0a-f000-4b4d-8db1-799be012c19e,Sudan,212.87.233.78
142,53,2025-06-02 07:59:41,17454.52,retail,in-person,e3c00b79-aeed-40bb-892e-bfded3a6f3b0,Andorra,142.87.39.227
143,175,2025-06-02 07:54:40,3688.09,e-commerce,in-person,95de7f67-3197-4805-9028-6e90c027c2ce,Qatar,149.64.204.49
144,59,2025-06-02 07:57:40,16442.49,crypto,in-person,f8124eb8-2fda-45ec-b12c-67985b3c8444,Croatia,12.232.158.245
145,352,2025-06-02 07:58:39,1073.13,gaming,international,392fd4fb-3993-430c-ba73-272bbe261312,Cayman Islands,164.253.181.235
146,128,2025-06-02 07:57:33,2369.91,crypto,international,e4722adf-917c-49ca-a19a-8cb24c730622,Palestinian Territory,171.71.5.204
147,116,2025-06-02 07:55:30,15514.1,crypto,in-person,701c2c74-f9af-4f9f-a6ef-fcadae59e302,Benin,54.121.192.143
148,441,2025-06-02 07:55:49,11770.91,crypto,in-person,be8cdad0-5baf-40c3-8a5a-4896c14b22bd,Suriname,221.167.111.165
149,313,2025-06-02 07:58:40,19202.22,e-commerce,online,e4f93591-47cb-44c8-84e6-726b092819a2,Gabon,200.2.43.221
150,339,2025-06-02 07:55:07,1624.67,gaming,online,8fdb29e3-8d60-42e7-a989-4c2a18572c2f,Germany,165.212.149.205
151,2,2025-06-02 07:54:19,8170.94,retail,in-person,dabf44c1-db56-4f74-bfa8-8458eef76706,France,147.167.85.249
152,148,2025-06-02 07:55:13,14139.41,crypto,online,63d330f9-4d5b-4198-a90b-37b6bd1bf79e,Pitcairn Islands,180.174.153.137
153,136,2025-06-02 07:59:52,15756.77,retail,international,bdd81f7f-c3b0-4d2b-a8fc-419635a0b7f4,United States Minor Outlying Islands,200.101.73.188
154,218,2025-06-02 07:59:55,2296.41,gaming,international,155dd4d1-61fe-4927-b3f3-452552e6b366,Jamaica,103.44.106.162
155,424,2025-06-02 07:58:52,2845.58,e-commerce,online,d9225cec-ddf8-4c47-a7df-cb85e0abfa6e,Azerbaijan,69.159.44.131
156,384,2025-06-02 07:58:33,16484.98,travel,in-person,e8ff8279-f93c-416b-8686-b1ac3c695177,Western Sahara,100.255.70.142
157,156,2025-06-02 07:58:32,13994.97,travel,international,4e480dff-dd38-49ce-be1e-1d4c1f38a03b,French Southern Territories,173.199.6.192
158,42,2025-06-02 07:55:57,11961.14,crypto,international,1e503ff8-ba11-4898-80ac-219736bba170,Paraguay,134.188.126.192
159,14,2025-06-02 07:57:44,1827.45,retail,international,e2682f1a-55a7-4569-8f9a-443633884769,Malaysia,41.191.222.238
160,345,2025-06-02 07:58:13,16428.6,retail,online,c9908bc0-dd7a-4a33-b922-4c7681bf8961,Bosnia and Herzegovina,173.15.58.96
161,241,2025-06-02 07:57:21,10379.76,crypto,in-person,7dad3728-01d7-4bbd-b13b-748b1c804d7e,Netherlands,68.81.184.39
162,224,2025-06-02 07:55:52,12696.06,crypto,online,0a2cce0d-153c-434f-9a3a-b5b6fb282879,Bangladesh,166.172.201.133
163,171,2025-06-02 07:59:58,6421.84,e-commerce,online,eaf8bab2-66c0-4f88-a890-1382ebca92a9,Albania,32.203.13.205
164,254,2025-06-02 07:59:07,5765.07,crypto,international,f7621497-d6e1-400d-a68f-7083904f484b,British Virgin Islands,162.16.158.37
165,162,2025-06-02 07:58:29,5048.72,e-commerce,in-person,67ffc4dc-68c6-41d0-9335-b0486280b296,Honduras,120.139.88.94
166,1,2025-06-02 07:57:23,13153.55,retail,in-person,88ebcbb7-b76d-4732-ad24-9df2988b277b,Monaco,20.80.116.172
167,266,2025-06-02 07:55:01,7236.23,crypto,international,5a5379ae-b82d-4b3c-ba49-ce7c3da067dd,Belize,125.148.59.53
168,105,2025-06-02 07:59:43,5341.86,gaming,in-person,ccf21541-7842-43a2-837f-68907d48b248,Thailand,177.110.122.193
169,249,2025-06-02 07:54:23,2429.4,retail,online,de982888-2bda-4f70-8935-4ae71a5f0c1d,Uruguay,58.15.2.94
170,283,2025-06-02 07:54:34,274.48,crypto,online,e0c1fde7-f854-4b6d-adf1-62ae0398ae49,Norfolk Island,3.221.69.175
171,468,2025-06-02 07:59:41,2270.11,e-commerce,international,a21ed52f-5cb7-4d33-ab3e-c51b73afaa25,French Polynesia,154.23.156.130
172,478,2025-06-02 07:55:19,14332.35,retail,international,565c50d0-f263-4376-8a95-f68c9b16f479,Bosnia and Herzegovina,150.44.252.94
173,248,2025-06-02 07:58:59,19604.91,gaming,in-person,2a996689-53f4-493d-bb46-6cf9019f857e,New Caledonia,48.10.39.247
174,98,2025-06-02 07:54:39,18437.44,retail,international,036d0cb0-af08-4405-aa06-1b2829896c19,Dominica,161.176.127.32
175,36,2025-06-02 07:54:21,5525.67,crypto,in-person,1e98f233-739a-499a-b045-43c285af7026,Uruguay,63.240.232.61
176,137,2025-06-02 07:59:08,16411.17,travel,international,afe0e7ed-22da-4ed8-820b-34beae7b1ef3,Nepal,33.247.9.129
177,297,2025-06-02 08:00:16,19978.05,crypto,online,ccd9171f-ee37-4565-8536-134025b216fe,Botswana,120.64.71.120
178,177,2025-06-02 07:59:11,6649.47,retail,in-person,bd53bc8e-8c00-4df3-9579-ff5a80d2d36a,Austria,23.108.126.25
179,446,2025-06-02 07:58:46,3773.86,gaming,international,20595e0a-85fd-44ad-b5e2-a02c9d4faef4,Kazakhstan,100.207.170.218
180,398,2025-06-02 07:56:42,8216.09,travel,international,dcc503b0-c904-4cd8-a292-b5b0a48c23da,French Guiana,123.220.252.156
181,416,2025-06-02 07:57:31,7625.24,gaming,in-person,c1148940-e8ad-4d1f-8ffa-828de42c13db,Botswana,193.231.217.162
182,258,2025-06-02 07:59:06,19307.11,travel,online,d6838503-3958-4e34-b64b-a5c39cb40888,Cameroon,217.218.147.25
183,52,2025-06-02 07:56:39,10519.5,crypto,online,9ba8af97-549e-43cd-8217-2480ed398ab7,Turks and Caicos Islands,23.66.210.113
184,446,2025-06-02 07:57:41,13095.97,gaming,online,e3c00b79-aeed-40bb-892e-bfded3a6f3b0,Christmas Island,177.218.2.153
185,136,2025-06-02 07:59:20,6771.89,crypto,international,a0318dc3-c471-4cbc-8ea7-5edcee1766bf,Trinidad and Tobago,144.223.22.2
186,437,2025-06-02 07:55:31,13487.48,retail,in-person,2ebf3496-8360-4695-a595-97c6aa9b30cc,France,33.142.74.159
187,368,2025-06-02 07:55:51,17748.89,crypto,international,ffcea7c2-ab00-45df-93d1-f423536d11e2,Afghanistan,170.236.86.3
188,121,2025-06-02 07:58:41,12623.59,travel,online,88d499d4-95cc-4300-a2ca-880a2504f371,Mongolia,193.115.24.238
189,51,2025-06-02 07:56:16,15207.63,e-commerce,in-person,165d052a-4d7e-4500-884e-4eb69aba7bba,Chile,181.213.232.165
190,463,2025-06-02 07:58:00,579.92,travel,online,82b986f2-c1b9-41af-9da7-39af78103f44,Turkmenistan,27.51.55.199
191,221,2025-06-02 07:58:30,2912.25,retail,in-person,66c17c54-50c4-4016-beb3-e4717341636b,Chad,191.123.186.75
192,93,2025-06-02 07:56:32,3400.5,e-commerce,international,a46322a2-0b32-4045-a290-afaae0553dd2,Ethiopia,54.42.103.127
193,350,2025-06-02 07:59:12,4817.36,retail,online,304aa334-8be6-48a5-85a5-3494c88abf3c,Malaysia,92.178.63.240
194,131,2025-06-02 07:54:39,9191.95,e-commerce,in-person,ab7a44c6-d073-4290-80e1-a727dee04597,Thailand,77.129.121.48
195,280,2025-06-02 08:00:17,3160.35,crypto,in-person,8e8d320c-587c-400c-a69a-1ec1962be9ab,Czech Republic,6.224.44.161
196,493,2025-06-02 07:56:57,8486.75,travel,in-person,0c27c990-5fd6-42f5-aaf8-ce1f2252d5a4,Bangladesh,98.236.214.58
197,197,2025-06-02 07:56:59,17066.86,e-commerce,online,db8cefb5-d4e9-40b3-a080-befa10aacaad,Comoros,118.222.22.255
